e_code,status,name_ru,name_en,note
,halal,гидрогенизированные гидролизаты крахмала,hydrogenated starch hydrolysates,
,halal,гидрогенизированное растительное масло,hydrogenated vegetable oil,
,halal,гидролизованный растительный белок,hydrolyzed vegetable protein,
,haram,гидроксипропилдикрахмал глицерин,hydroxy propyl distarch glycerine,
E1442,halal,гидроксипропил дикрахмалфосфат,hydroxy propyl distarch phosphate,
,haram,гидроксипропилкрахмал глицерин,hydroxy propyl starch glycerol,
,haram,гидроксилированный лецитин,hydroxylated lecithin,
E463,halal,гидроксипропилцеллюлоза,hydroxypropyl cellulose,
,halal,гидроксипропилдикрахмалфосфат,hydroxypropyl distarch phosphate,
E464,halal,гидроксипропилметилцеллюлоза,hydroxypropyl methylcellulose,
,halal,гидроксипропиловый крахмал,hydroxypropyl starch,
,halal,индантреновый синий rs,indanthrene blue rs,
,halal,индигокармин/идиготин,indigo carmine / idigotine,
E630,mushbooh,инозиновая кислота,inosinic acid,
,haram,инозито 5 монофосфат,inosito 5 monophosphate,
,halal,инулин,inulin,
,halal,инвертный сахар,invert sugar,
E1103,halal,инвертаза,invertase,
,halal,железо,iron,
E172,halal,оксиды и гидроксиды железа,iron oxides and iron hydroxides,
E943B,halal,изобутан,isobutane,
E953,halal,изомальтит,isomalt,
,halal,изопропанальный спирт,isoproponal alcohol,
,halal,изопропиловый спирт,isopropyl alcohol,
,halal,каолин (силикат алюминия),kaolin (aluminium silicate),
E416,halal,карайи камедь,karaya gum,
,halal,водоросли,kelp,
E425,halal,коньяк смола,konjac,
,halal,конжаковая камедь,konjac gum,
,halal,l-аскорбиновая кислота (витамин с),l-ascorbic acid (vitamin c),
E920,mushbooh,l-цистеин,l-cysteine hydrochloride,
,haram,l-цистин,l-cystine,
,halal,l-глутаминовая кислота,l-glutamic acid,
E270,halal,молочная кислота,lactic acid,
,halal,лактитол,lactitol,
,haram,лактоглицериды,lactoglycerides,
,mushbooh,лактоза,lactose,
E478,mushbooh,эфиры лактилированных жирных кислот глицерина и пропиленгликоля,lactylated fatty acid esters of glycerol and propane-1,
,haram,сложные эфиры лактилированных жирных кислот глицерина и пропан-12-диола,"lactylated fatty acid esters of glycerol and propane-1,2-diol",
E913,halal,ланолин,lanolin,
,halal,ланолиновый спирт,lanolin alcohol,
,haram,сало,lard,
E322,halal,лецитин,lecithin,
,halal,корень солодки,licorice root,
E410,halal,камедь рожкового дерева,locust bean gum (carob gum),
E161B,halal,лютеин,lutein,
E160D,halal,ликопин,lycopene,
,halal,микробные ферменты липаза,lypase microbial enzymes,
,halal,лизоцим,lysozyme,
E1105,halal,фермент лизоцим,lysozyme enzyme,
,halal,булава,mace,
E504,halal,карбонат магния,magnesium carbonate,
E511,halal,хлорид магния,magnesium chloride,
E625,halal,диглутамат магния,magnesium diglutamate,
E528,halal,гидроксид магния,magnesium hydroxide,
,halal,лактат магния,magnesium lactate,
E530,halal,оксид магния,magnesium oxide,
E343,halal,фосфаты магния,magnesium phosphates,
,haram,магниевые соли жирных кислот,magnesium salts of fatty acids,
,halal,силикат магния,magnesium silicate,
,halal,силикат магния/трисиликат магния (тальк),magnesium silicate / magnesium trisilicate (talc),
E553,halal,силикат магния/тальк,magnesium silicate/ magnesium trisilicate (talc),
E572,mushbooh,стеарат магния,magnesium stearate,
E518,halal,сульфат магния,magnesium sulphate,
E296,halal,яблочная кислота,malic acid,
,halal,солод,malt,
,halal,мальтитол,maltitol,
,halal,мальтитовый сироп,maltitol syrup,
,halal,мальтодекстрин,maltodextrin,
E636,halal,мальтол,maltol,
,halal,мальтоза,maltose,
E421,halal,маннит,mannitol,
,halal,кленовый сахар,maple sugar,
,halal,кленовый сироп,maple syrup,
,haram,маргарин,margarine,
,halal,майоран,marjoram,
,haram,зефир,marshmallow,
,haram,метавиновая кислота,metataric acid,
E353,halal,мета-винная кислота,metatartaric acid,
,halal,метил 4- гидроксибензоат,methyl 4- hydroxybenzoate,
Е218,halal,пара-гидроксибензойной кислоты метиловый эфир,methyl 4-hydroxybenzoate,
E461,halal,метилцеллюлоза,methyl cellulose,
,halal,микробные ферменты,microbial enzymes,
,halal,микрокристаллическая/порошковая целлюлоза,microcrystalline / powdered cellulose,
E460,halal,микрокристаллическая целлюлоза целлюлоза в порошке,microcrystalline cellulose/powdered cellulose,
,halal,сухое молоко,milk solids,
,halal,минеральные углеводороды,mineral hydrocarbons,
,halal,минеральное масло,mineral oil,
,haram,смешанные эфиры уксусной и винной кислот моно и дигли,mixed acetic & tartaric acid esters of mono & digl,
,halal,модифицированный пищевой крахмал,modified food starch,
,halal,модифицированный крахмал,modified starch,
,halal,патока,molasses,
E472E,mushbooh,эфиры глицерина диацетилвинной и жирных кислот,mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids,
E471,mushbooh,моно- и диглицериды жирных кислот,mono- and diglycerides of fatty acids,
E624,halal,глутамат аммония однозамещенный,monoammonium glutamate,
,halal,монокальцийфосфат,monocalcium phosphate,
,haram,моноглицериды и диглицериды,monoglycerides and diglycerides,
,halal,мономагнийфосфат,monomagnesium phosphate,
E622,halal,глутамат калия однозамещенный,monopotassium glutamate,
E621,halal,глютамат натрия,monosodium glutamate,
,halal,глутамат натрия (мсг),monosodium glutamate (msg),
,halal,монокрахмалфосфат,monostarch phosphate,
E912,halal,эфиры монтаниновой кислоты,montanic acid esters,
,halal,горчица,mustard,
,halal,горчичное масло,mustard oil,
,halal,горчичное семя,mustard seed,
Е235,halal,натамицин,natamycin,
,halal,натуральные экстракты богатые токоферолами,natural extracts rich in tocopherols,
,mushbooh,ароматизаторы,natural flavors,"Натуральные ароматизаторы: статус зависит от источника и состава.Растительные – обычно halal, с алкоголем – mushbooh/haram, животного происхождения – haram. Требует уточнения у производителя."
,halal,натуральный ароматизатор дыма ,natural hickory smoke flavor,
,halal,неогесперидин дигидрохалкон,neohesperidine dihydrochalcone,
,haram,ниацин,niacin,
E375,halal,никотиновая кислота,nicotinic acid,
Е234,halal,низин,nisin,
E941,halal,азот,nitrogen,
E942,halal,закись азота,nitrous oxide,
,halal,обезжиренное сухое молоко,nonfat dry milk,
,haram,норбиксин,norbixin,
,haram,нуклеотиды,nucleotides,
,halal,мускатный орех,nutmeg,
,halal,овсяная мука,oat flour,
,halal,овсянка,oatmeal,
E311,halal,октилгаллат,octyl gallate,
,halal,оливковое масло,olive oil,
,halal,оливковое масло из выжимок,olive pomace oil,
,halal,лук,onion,
,halal,оранжевый ггн,orange ggn,
Е231,halal,ортофенилфенол,orthophenyl phenol,
E338,halal,ортофосфорная кислота,orthophosphoric acid,
,halal,окисленный крахмал,oxidised starch,
E914,halal,окисленный полиэтиленовый воск,oxidized polyethylene wax,
E1404,halal,крахмал окисленный,oxidized starch,
,halal,кислород,oxygen,
,halal,пальмовое масло,palm oil,
,haram,пантотеровая кислота,pantotherric acid,
,halal,папаин,papain,
,halal,паприка,paprika,
E905,halal,парафины,paraffins,
,halal,петрушка,parsley,
,halal,частично гидрогенизированный растительный шортенинг,partially hydrogenated vegetable shortening,
,halal,патент синий,patent blue v,
,halal,арахис,peanut,
E440A,halal,пектин,pectin,
,halal,пентатрифосфат натрия,pentasodium triphosphate,
,halal,перец,peppers,
,halal,фенилэтанол,phenylethanol,
,haram,фосфат,phosphate,
E1413,halal,фосфатированный дикрахмалфосфат,phosphated distarch phosphate,
,halal,фосфаты,phosphates,
,halal,фосфорная кислота,phosphoric acid,
,halal,пигмент рубин / литол рубин бк,pigment rubine / lithol rubine bk,
E180,halal,рубиновый литол вк,pigment rubine lithol rubine bk,
,halal,обычная карамель,plain caramel,
E1200,halal,полидекстроза,polydextrose,
E475,mushbooh,эфиры полиглицеридов и жирных кислот,polyglycerol esters of fatty acids,
,haram,полиглицериновые эфиры поликонденсированных эфиров касторового масла,polyglycerol esters of polycondensed esters of caster oil,
E476,mushbooh,полиглицерин полирицинолеаты,polyglycerol polyricinoleate,
,haram,полиоксиэтан (20),polyoxyethane (20),
,halal,полиоксиэтан (20) сорбитан/полисорбат 20,polyoxyethane (20) sorbitan / polysorbate 20,
,halal,полиоксиэтан (20) сорбитанмонопальмитат/полисорбат 40,polyoxyethane (20) sorbitan monopalmitate / polysorbate 40,
,haram,полиоксиэтан (20) моностеарат сорбитана/полисорбат 60,polyoxyethane (20) sorbitan monostearate / polysorbate 60,
,haram,полиоксиэтан (20) тристеарат сорбитана/полисорбат 65,polyoxyethane (20) sorbitan tristearate / polysorbate 65,
,haram,полиоксиэтан (40) стеарат,polyoxyethane (40) stearate,
,haram,полиоксиэтан (8) стеарат,polyoxyethane (8) stearate,
E432,halal,полиоксиэтиленсорбитан (20) монолаурат/полисорбат 20,polyoxyethene (20) sorbitan monolaurate (polysorbate 20),
E433,halal,полиоксиэтиленсорбитан (20) моноолеат/полисорбат 80,polyoxyethene (20) sorbitan monooleate (polysorbate 80),
E434,halal,полиоксиэтиленсорбитан (20) монопальмитат/полисорбат 40,polyoxyethene (20) sorbitan monopalmitate (polysorbate 40),
E435,halal,полиоксиэтилен сорбитан (20) моностеарат/полисорбат 60,polyoxyethene (20) sorbitan monostearate (polysorbate 60),
E436,halal,полиоксиэтиленсорбитан (20) тристеарат/полисорбат 65,polyoxyethene (20) sorbitan tristearate (polysorbate 65),
E431,halal,полиоксиэтилен (40) стеарат,polyoxyethene (40) stearate,
E430,halal,полиоксиэтилена (8) стеарат,polyoxyethene (8) stearate,
,haram,моностеарат полиокситиленсорбитана,polyoxythylene sorbitan monostearate,
E452,halal,полифосфаты,polyphosphates,
,haram,полисорбат 60,polysorbate 60,
,haram,полисорбат 65,polysorbate 65,
